currency,date,rate
EUR,8/1/2020,1
EUR,8/2/2020,1
EUR,8/3/2020,1
EUR,8/4/2020,1
EUR,8/5/2020,1
EUR,8/6/2020,1
EUR,8/7/2020,1
EUR,8/8/2020,1
EUR,8/9/2020,1
EUR,8/10/2020,1
GBP,8/1/2020,0.900185
GBP,8/2/2020,0.899325
GBP,8/3/2020,0.89935
GBP,8/4/2020,0.902815
GBP,8/5/2020,0.9045
GBP,8/6/2020,0.903835
GBP,8/7/2020,0.90286
GBP,8/8/2020,0.9032
GBP,8/9/2020,0.90278
GBP,8/10/2020,0.89775
USD,8/1/2020,1.17776
USD,8/2/2020,1.178035
USD,8/3/2020,1.17625
USD,8/4/2020,1.181445
USD,8/5/2020,1.187255
USD,8/6/2020,1.18759
USD,8/7/2020,1.178785
USD,8/8/2020,1.1787
USD,8/9/2020,1.17845
USD,8/10/2020,1.173745
AUD,8/1/2020,1.648971
AUD,8/2/2020,1.64864
AUD,8/3/2020,1.65238
AUD,8/4/2020,1.646355
AUD,8/5/2020,1.64913
AUD,8/6/2020,1.64212
AUD,8/7/2020,1.646397
AUD,8/8/2020,1.646948
AUD,8/9/2020,1.646306
AUD,8/10/2020,1.6408
CAD,8/1/2020,1.579445
CAD,8/2/2020,1.57857
CAD,8/3/2020,1.575375
CAD,8/4/2020,1.570995
CAD,8/5/2020,1.5749
CAD,8/6/2020,1.581525
CAD,8/7/2020,1.5779
CAD,8/8/2020,1.5778
CAD,8/9/2020,1.57741
CAD,8/10/2020,1.56759
NZD,8/1/2020,1.777575
NZD,8/2/2020,1.7754
NZD,8/3/2020,1.778
NZD,8/4/2020,1.77774
NZD,8/5/2020,1.78604
NZD,8/6/2020,1.776745
NZD,8/7/2020,1.786125
NZD,8/8/2020,1.786725
NZD,8/9/2020,1.785
NZD,8/10/2020,1.7806
HKD,8/1/2020,9.12947
HKD,8/2/2020,9.13117
HKD,8/3/2020,9.1156
HKD,8/4/2020,9.156815
HKD,8/5/2020,9.201275
HKD,8/6/2020,9.2051
HKD,8/7/2020,9.134575
HKD,8/8/2020,9.13702
HKD,8/9/2020,9.131855
HKD,8/10/2020,9.097595
CHF,8/1/2020,1.075795
CHF,8/2/2020,1.076325
CHF,8/3/2020,1.079215
CHF,8/4/2020,1.078265
CHF,8/5/2020,1.078185
CHF,8/6/2020,1.080625
CHF,8/7/2020,1.07563
CHF,8/8/2020,1.07555
CHF,8/9/2020,1.075405
CHF,8/10/2020,1.07485
SEK,8/1/2020,10.34372
SEK,8/2/2020,10.34182
SEK,8/3/2020,10.2904
SEK,8/4/2020,10.301
SEK,8/5/2020,10.27217
SEK,8/6/2020,10.3215
SEK,8/7/2020,10.31418
SEK,8/8/2020,10.31418
SEK,8/9/2020,10.3122
SEK,8/10/2020,10.2831
DKK,8/1/2020,7.4474
DKK,8/2/2020,7.44826
DKK,8/3/2020,7.44705
DKK,8/4/2020,7.449055
DKK,8/5/2020,7.450815
DKK,8/6/2020,7.44915
DKK,8/7/2020,7.44815
DKK,8/8/2020,7.4483
DKK,8/9/2020,7.447905
DKK,8/10/2020,7.44525
ILS,8/1/2020,4.024
ILS,8/2/2020,4.02275
ILS,8/3/2020,4.00315
ILS,8/4/2020,4.01745
ILS,8/5/2020,4.04255
