link,full_name,description,year,mileage_km,fuel_type,price_pln,offer_from,show_vin_offers,has_registration_number,brand,model,version,generation,production_year,mileage,engine_capacity_detail,fuel_type_detail,power,gearbox,autonomy,drive,battery_capacity,type_of_battery_property,fuel_consumption_average,fuel_consumption_outside_city,fuel_consumption_in_city,damaged,body_type,co2_emission,number_of_doors,number_of_seats,color,color_type,manufacturers_warranty_period,or_warranty_up_to_km,country_of_origin,first_registration_date,registration_number,registered_in_poland,first_owner,accident_free,serviced_at_dealership,condition
https://www.otomoto.pl/osobowe/oferta/audi-a4-auto-sprowadzone-z-niemiec-zarejestrowane-i-ubezpieczone-2012r-ID6EnU1J.html,Audi A4 Avant 2.0 TDI DPF Ambition,1 968 cm3 • 143 KM • Auto sprowadzone z Niemiec .Zarejestrowane i ubezpieczone-2012R.,2013,188 000 km,Diesel,42 900,Prywatne,Tak,Tak,Audi,A4,Avant 2.0 TDI DPF Ambition,B8 (2007-2015),2013,188 000 km,1 968 cm3,Diesel,143 KM,Manualna,,Na przednie koła,,,,,"5,70 l/100km",Kombi,,124 g/km,5,5,Czarny,Metalik,,,Niemcy,04 luty 2012,wa4545,Tak,,Tak,,Używane
https://www.otomoto.pl/osobowe/oferta/audi-q8-audi-q8-55-i-hev-3-0-benzyna-oplacone-ID6FFlkw.html,Audi Q8 55 TFSI quattro tiptronic,"2 995 cm3 • 340 KM • Audi Q8 55 I-HEV,3.0 Benzyna,Oplacone",2019,65 000 km,Benzyna,119 900,Prywatne,Tak,Tak,Audi,Q8,55 TFSI quattro tiptronic,,2019,65 000 km,2 995 cm3,Benzyna,340 KM,Automatyczna,,4x4 (stały),,,,7.2 l/100km,"11,10 l/100km",SUV,Tak,197 g/km,5,5,Czarny,Metalik,,,Austria,28 czerwiec 2019,audi,,,,Tak,Używane
https://www.otomoto.pl/osobowe/oferta/audi-a4-audi-a4-allroad-2-0-tdi-quattro-s-tronic-ID6GdR3W.html,Audi A4 2.0 TDI Quattro S tronic,1 968 cm3 • 190 KM • Audi A4 Allroad 2.0 TDI Quattro S tronic,2016,200 400 km,Diesel,81 000,Prywatne,Tak,Tak,Audi,A4,2.0 TDI Quattro S tronic,B9 (2015-),2016,200 400 km,1 968 cm3,Diesel,190 KM,Automatyczna,,4x4 (stały),,,,4.0 l/100km,5 l/100km,Kombi,,116 g/km,5,5,Czarny,Metalik,,,Francja,,,Tak,,Tak,,Używane
"https://otomotoklik.pl/oferta/WAUZZZ8V8KA019035?product=lease&contractPeriod=72&utm_source=otomoto&utm_medium=native&utm_campaign=listing&utm_term=audi-a3-1.5-tfsi-sport-s-tronic,audi,,,,,,,,,,,,,,,,&utm_campaign_id=1-4",AUDI A3 1.5 TFSI Sport S tronic,1498 cm3,2018,144 129 km,Petrol,85 300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.otomoto.pl/osobowe/oferta/audi-q5-sportback-pakiet-comfort-exterieur-technology-ID6GdpjG.html,Audi Q5 Sportback 40 TDI mHEV Quattro S Line S tronic,1 968 cm3 • 204 KM • Pakiet Comfort + Exterieur + Technology,2024,1 km,Diesel,266 400,Firma,,,Audi,Q5 Sportback,40 TDI mHEV Quattro S Line S tronic,,2024,1 km,1 968 cm3,Diesel,204 KM,Automatyczna,,4x4 (stały),,,,,6 l/100km,SUV,,,5,5,Szary,Metalik,,,Polska,,,,,Tak,,Nowe
https://www.otomoto.pl/osobowe/oferta/audi-q4-sportback-nowe-audi-q4-50-e-tron-quattro-full-opcja-dostepny-od-reki-ID6G80sD.html,Audi Q4 Sportback e-tron 50 Quattro S Line,299 KM • Nowe Audi Q4 50 e-tron quattro / FULL OPCJA / !Dostępny od Ręki! /,2023,6 000 km,Elektryczny,319 900,Prywatne,Tak,Tak,Audi,Q4 Sportback,e-tron 50 Quattro S Line,,2023,6 000 km,,Elektryczny,299 KM,Automatyczna,424 km,4x4 (stały),,W cenie,17 kWh/100km,,,Kompakt,,,5,5,Szary,Metalik,30 Kwietnia 2026,120 000 km,Polska,,,Tak,,Tak,Tak,Używane
https://www.otomoto.pl/osobowe/oferta/audi-a5-audi-a5-2-0-tdi-190-km-zadbany-godny-polecenia-ID6GcZAk.html,Audi A5 2.0 TDI S tronic,"1 968 cm3 • 190 KM • AUDI A5 2.0 TDI 190 KM, Zadbany, godny polecenia",2017,94 000 km,Diesel,109 000,Prywatne,Tak,Tak,Audi,A5,2.0 TDI S tronic,F5 (2016-),2017,94 000 km,1 968 cm3,Diesel,190 KM,Automatyczna,,Na przednie koła,,,,3.0 l/100km,4 l/100km,Kompakt,,109 g/km,5,5,Biały,Perłowy,,,Polska,,,Tak,,Tak,Tak,Używane
https://www.otomoto.pl/osobowe/oferta/audi-a7-3-0biturbo-s-line-selection-skora-navi-radar-key-full-serwis-z-de-ID6GcZAb.html,Audi A7 3.0 TDI quattro tiptronic sport selection,2 967 cm3 • 313 KM • 3.0Biturbo S Line Selection Skóra Navi Radar Key Full Serwis z De,2012,370 156 km,Diesel,75 900,Prywatne,Tak,,Audi,A7,3.0 TDI quattro tiptronic sport selection,C7 (2011-2018),2012,370 156 km,2 967 cm3,Diesel,313 KM,Automatyczna,,,,,,,8 l/100km,Sedan,,,5,5,Czarny,Metalik,,,Niemcy,,,,,Tak,Tak,Używane
https://www.otomoto.pl/osobowe/oferta/audi-a7-bezwypadkowy-313km-3-0-v6-stan-idealny-ID6FNEVK.html,Audi A7 3.0 TDI Quattro Tiptronic,"2 967 cm3 • 313 KM • bezwypadkowy 313KM 3,0 V6 stan idealny",2012,194 000 km,Diesel,92 900,Prywatne,Tak,Tak,Audi,A7,3.0 TDI Quattro Tiptronic,C7 (2011-2018),2012,194 000 km,2 967 cm3,Diesel,313 KM,Automatyczna,,4x4 (stały),,,,5.0 l/100km,8 l/100km,Kompakt,,169 g/km,5,5,Czarny,,,,,17 grudzień 2012,WAUZZZ4G2DN079394,,,Tak,,Używane
"https://otomotoklik.pl/oferta/WAUZZZ8U4JR068370?product=lease&contractPeriod=72&utm_source=otomoto&utm_medium=native&utm_campaign=listing&utm_term=audi-q3-2.0-tdi,audi,,,,,,,,,,,,,,,,&utm_campaign_id=1-10",AUDI Q3 2.0 TDI,1968 cm3,2018,89 875 km,Diesel,99 900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.otomoto.pl/osobowe/oferta/audi-a6-prestige-3-0-tfsi-quattro-ID6GdbKb.html,Audi A6 3.0 TFSI Quattro S tronic,"2 995 cm3 • 310 KM • Prestige 3,0 TFSI quattro",2012,213 000 km,Benzyna,45 000,Firma,Tak,,Audi,A6,3.0 TFSI Quattro S tronic,C7 (2011-2018),2012,213 000 km,2 995 cm3,Benzyna,310 KM,Automatyczna,,4x4 (stały),,,,6.0 l/100km,10 l/100km,Sedan,Tak,190 g/km,4,5,Błękitny,Metalik,,,,,,,,,,Używane
https://www.otomoto.pl/osobowe/oferta/audi-a3-audi-a3-8p-2-0tdi-automat-lopatki-panorama-ID6GdODp.html,Audi A3,1 968 cm3 • 140 KM • Audi A3 8P 2.0tdi automat łopatki panorama,2010,302 354 km,Diesel,32 900,Prywatne,Tak,,Audi,A3,,8P (2003-2012),2010,302 354 km,1 968 cm3,Diesel,140 KM,Automatyczna,,,,,,,,Auta miejskie,,,5,5,Czarny,,,,,,,,,,,Używane
https://www.otomoto.pl/osobowe/oferta/audi-rs6-avant-performance-4-0tfsi-630km-quattro-tiptronic-2023-exclusive-ID6FSb3z.html,Audi RS6,3 996 cm3 • 630 KM • Avant Performance 4.0TFSI 630KM Quattro TipTronic 2023 Exclusive!,2023,10 km,Benzyna,678 300,Firma,Tak,,Audi,RS6,,,2023,10 km,3 996 cm3,Benzyna,630 KM,Automatyczna,,4x4 (stały),,,,,,Kombi,,,5,5,Inny kolor,Metalik,,,Polska,,,,,Tak,,Nowe
https://www.otomoto.pl/osobowe/oferta/audi-a7-audi-a7-2-0-s-line-black-edition-ID6FlWBH.html,Audi A7 2.0 TFSI S tronic,1 984 cm3 • 251 KM • Audi A7 2.0 S Line Black Edition,2015,186 000 km,Benzyna,114 000,Prywatne,Tak,Tak,Audi,A7,2.0 TFSI S tronic,C7 (2011-2018),2015,186 000 km,1 984 cm3,Benzyna,251 KM,Automatyczna,,Na przednie koła,,,,,"7,40 l/100km",Sedan,,,5,5,Czarny,Metalik,,,Niemcy,02 lipiec 2015,PP 7269N,Tak,,Tak,Tak,Używane
https://www.otomoto.pl/osobowe/oferta/audi-a4-2-x-s-line-stan-idealny-bezwypadkowy-ID6G9bLr.html,Audi A4 Avant 1.8 TFSI S line Sportpaket,"1 798 cm3 • 170 KM • 2 x S-line Stan Idealny ,Bezwypadkowy",2012,198 000 km,Benzyna,49 900,Prywatne,Tak,Tak,Audi,A4,Avant 1.8 TFSI S line Sportpaket,B8 (2007-2015),2012,198 000 km,1 798 cm3,Benzyna,170 KM,Manualna,,Na przednie koła,,,,4.9 l/100km,"7,30 l/100km",Kombi,,134 g/km,5,5,Czarny,,,,Niemcy,,,,,Tak,Tak,Używane
"https://otomotoklik.pl/oferta/WAUZZZF48LA012033?product=lease&contractPeriod=72&utm_source=otomoto&utm_medium=native&utm_campaign=listing&utm_term=audi-a4-35-tfsi-mhev-advanced-s-tronic,audi,,,,,,,,,,,,,,,,&utm_campaign_id=1-16",AUDI A4 35 TFSI mHEV Advanced S tronic,1984 cm3,2019,141 981 km,Petrol,112 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.otomoto.pl/osobowe/oferta/audi-a3-niski-oryginalny-przebieg-po-wymianie-rozrzadu-dobrze-utrzymany-ID6G1I1F.html,Audi A3,"1 598 cm3 • 105 KM • Niski oryginalny przebieg, po wymianie rozrządu , dobrze utrzymany",2012,178 000 km,Diesel,29 900,Prywatne,Tak,Tak,Audi,A3,,8P (2003-2012),2012,178 000 km,1 598 cm3,Diesel,105 KM,Manualna,,,,,,,,Kompakt,,,5,5,Czarny,,,,Niemcy,,,Tak,,,Tak,Używane
https://www.otomoto.pl/osobowe/oferta/audi-q7-ID6GcZfV.html,Audi Q7,2 967 cm3 • 239 KM,2008,353 000 km,Diesel,31 000,Prywatne,Tak,Tak,Audi,Q7,,I (2005-2015),2008,353 000 km,2 967 cm3,Diesel,239 KM,Automatyczna,,4x4 (stały),,,,8.0 l/100km,12 l/100km,SUV,,260 g/km,5,5,Żółty,,,,,,,,,,,Używane
https://www.otomoto.pl/osobowe/oferta/audi-a6-audi-a6-c6-avant-3-0tdi-240km-ID6G4Ag8.html,Audi A6 3.0 TDI Quattro Tiptronic,2 967 cm3 • 240 KM • Audi A6 C6 avant 3.0tdi 240km,2009,295 000 km,Diesel,37 000,Prywatne,Tak,,Audi,A6,3.0 TDI Quattro Tiptronic,C6 (2004-2011),2009,295 000 km,2 967 cm3,Diesel,240 KM,Automatyczna,,4x4 (dołączany automatycznie),,,,,"9,30 l/100km",Kombi,,,5,5,Biały,,,,,,,Tak,,Tak,,Używane
https://www.otomoto.pl/osobowe/oferta/audi-a4-40-tdi-mhev-204-km-advanced-s-tronic-ID6GdTCv.html,Audi A4 40 TDI mHEV Advanced S tronic,1 968 cm3 • 204 KM • 40 TDI mHEV 204 KM Advanced S tronic,2024,1 km,Diesel,224 473,Firma,,,Audi,A4,40 TDI mHEV Advanced S tronic,B9 (2015-),2024,1 km,1 968 cm3,Diesel,204 KM,Automatyczna,,Na przednie koła,,,,,5 l/100km,Kombi,,122 g/km,5,5,Niebieski,,,,Polska,,,,,Tak,,Nowe
