year,mileage_km,fuel_type,price_pln,brand,model,power,gearbox,drive,fuel_consumption_outside_city,fuel_consumption_in_city,body_type,color,country_of_origin,accident_free,condition
2013,188000.0,Diesel,42900.0,Audi,A4,143.0,Manualna,Front,4.947841306884481,5.7,Kombi,Czarny,Niemcy,Tak,Używane
2019,65000.0,Benzyna,119900.0,Audi,Q8,340.0,Automatyczna,4X4,7.2,11.1,SUV,Czarny,Austria,Nie,Używane
2016,200400.0,Diesel,81000.0,Audi,A4,190.0,Automatyczna,4X4,4.0,5.0,Kombi,Czarny,Francja,Tak,Używane
2024,1.0,Diesel,266400.0,Audi,Q5 Sportback,204.0,Automatyczna,4X4,4.947841306884481,6.0,SUV,Szary,Polska,Tak,Nowe
2023,6000.0,Elektryczny,319900.0,Audi,Q4 Sportback,299.0,Automatyczna,4X4,4.947841306884481,7.473995451099318,Kompakt,Szary,Polska,Tak,Używane
2017,94000.0,Diesel,109000.0,Audi,A5,190.0,Automatyczna,Front,3.0,4.0,Kompakt,Biały,Polska,Tak,Używane
2012,370156.0,Diesel,75900.0,Audi,A7,313.0,Automatyczna,Front,4.947841306884481,8.0,Sedan,Czarny,Niemcy,Tak,Używane
2012,194000.0,Diesel,92900.0,Audi,A7,313.0,Automatyczna,4X4,5.0,8.0,Kompakt,Czarny,Polska,Tak,Używane
2012,213000.0,Benzyna,45000.0,Audi,A6,310.0,Automatyczna,4X4,6.0,10.0,Sedan,Błękitny,Polska,Nie,Używane
2010,302354.0,Diesel,32900.0,Audi,A3,140.0,Automatyczna,4X4,4.947841306884481,7.473995451099318,Auta miejskie,Czarny,Polska,Nie,Używane
2023,10.0,Benzyna,678300.0,Audi,RS6,630.0,Automatyczna,4X4,4.947841306884481,7.473995451099318,Kombi,Inny kolor,Polska,Tak,Nowe
2015,186000.0,Benzyna,114000.0,Audi,A7,251.0,Automatyczna,Front,4.947841306884481,7.4,Sedan,Czarny,Niemcy,Tak,Używane
2012,198000.0,Benzyna,49900.0,Audi,A4,170.0,Manualna,Front,4.9,7.3,Kombi,Czarny,Niemcy,Tak,Używane
2012,178000.0,Diesel,29900.0,Audi,A3,105.0,Manualna,4X4,4.947841306884481,7.473995451099318,Kompakt,Czarny,Niemcy,Nie,Używane
2008,353000.0,Diesel,31000.0,Audi,Q7,239.0,Automatyczna,4X4,8.0,12.0,SUV,Żółty,Polska,Nie,Używane
2009,295000.0,Diesel,37000.0,Audi,A6,240.0,Automatyczna,4X4,4.947841306884481,9.3,Kombi,Biały,Polska,Tak,Używane
2024,1.0,Diesel,224473.0,Audi,A4,204.0,Automatyczna,Front,4.947841306884481,5.0,Kombi,Niebieski,Polska,Tak,Nowe
2017,93000.0,Benzyna,117100.0,Audi,Q5,252.0,Automatyczna,4X4,4.947841306884481,8.0,Kompakt,Niebieski,Polska,Nie,Używane
2008,124290.0,Benzyna,34900.0,Audi,A4,120.0,Manualna,Front,5.5,8.6,Sedan,Srebrny,Niemcy,Tak,Używane
2015,250000.0,Diesel,55000.0,Audi,A4 Allroad,190.0,Automatyczna,4X4,5.0,6.0,Kombi,Szary,Polska,Nie,Używane
2014,175715.0,Diesel,57500.0,Audi,A4,177.0,Automatyczna,4X4,4.9,6.5,Kombi,Czerwony,Szwecja,Tak,Używane
2021,39000.0,Benzyna,269000.0,Audi,A7,340.0,Automatyczna,4X4,5.0,10.0,Sedan,Biały,Stany Zjednoczone,Nie,Używane
2017,120000.0,Diesel,55350.0,Audi,A4,150.0,Manualna,Front,3.4,4.5,Kombi,Granatowy,Polska,Nie,Używane
2012,363000.0,Diesel,51800.0,Audi,A6,245.0,Automatyczna,4X4,5.0,7.0,Kombi,Czarny,Niemcy,Tak,Używane
2020,119000.0,Benzyna,119800.0,Audi,A5,190.0,Automatyczna,Front,4.947841306884481,5.0,Coupe,Czerwony,Niemcy,Tak,Używane
2018,40698.0,Benzyna,138900.0,Audi,S4,354.0,Automatyczna,4X4,5.0,9.0,Sedan,Biały,Polska,Nie,Używane
2014,95000.0,Benzyna,68900.0,Audi,A4,224.0,Automatyczna,4X4,4.947841306884481,8.0,Kombi,Szary,Stany Zjednoczone,Nie,Używane
2019,67501.0,Diesel,176500.0,Audi,A6,204.0,Automatyczna,4X4,4.947841306884481,5.0,Kombi,Czarny,Polska,Tak,Używane
